vpv1,ipv1,pv1_watt,vpv2,ipv2,pv2_watt,pac_total,freq,vac1,iac1,energia_hoy,energia_total,temp_inversor,codigo_error,irradiancia,temp1,temp2,timestamp
151.6,1.1,175.1,157.7,0.7,108.1,274.2,60.02,215.7,1.2,0.1,183.5,28.6,0,116.53502524925415,23.687,23.687,2024-11-11 07:37:32
158.1,1.1,183.2,156.1,0.7,114.8,286.3,60.03,216.1,1.3,0.1,183.5,28.9,0,388.4500841641824,23.875,23.875,2024-11-11 07:42:34
157.8,1.2,193.9,156.4,0.7,121.9,304.0,60.04,216,1.4,0.2,183.6,29.3,0,504.98510941343653,23.875,23.875,2024-11-11 07:47:37
150.8,1.3,197.2,153.4,0.8,125.1,308.2,60.02,215.6,1.4,0.2,183.6,29.7,0,504.98510941343653,24.0,24.0,2024-11-11 07:52:39
155.3,1.3,200.7,155,0.8,126.1,313.1,60,215.6,1.4,0.2,183.6,30,0,194.22504208209406,24.062,24.062,2024-11-11 07:57:41
153.4,1.3,203.7,155,0.8,127.0,315.5,60.01,215.3,1.4,0.2,183.6,30.3,0,504.9851094134423,23.875,23.937,2024-11-11 08:02:43
155,1.3,211.8,155.2,0.8,130.4,326.4,60,216,1.5,0.3,183.7,30.3,0,582.6751262462765,23.937,23.937,2024-11-11 08:07:46
155,1.4,215.3,157.4,0.8,131.8,331.6,60.02,215.6,1.5,0.3,183.7,30.4,0,194.22504208209406,24.062,24.062,2024-11-11 08:12:48
154.1,1.4,216.5,157.9,0.8,136.1,337.0,60,215.6,1.5,0.3,183.7,30.5,0,194.22504208209406,24.125,24.125,2024-11-11 08:17:50
156,1.4,213.5,154.1,0.9,141.4,338.9,60.05,216.1,1.5,0.3,183.7,30.8,0,582.6751262462765,24.25,24.25,2024-11-11 08:22:53
155,1.2,203.2,152,0.9,138.9,325.9,60.04,215.5,1.4,0.4,183.8,31,0,271.91505891492824,24.25,24.25,2024-11-11 08:27:55
153.5,1.1,178.6,150.4,0.8,124.2,291.0,59.98,214.8,1.3,0.4,183.8,31,0,543.8301178298565,24.437,24.437,2024-11-11 08:32:57
155.7,1,152.9,155.6,0.7,107.7,254.3,60.02,215.8,1.2,0.4,183.8,31.2,0,155.38003366567412,24.125,24.125,2024-11-11 08:37:59
149.6,0.9,136.8,150.5,0.6,97.7,228.7,60.03,215.6,1,0.4,183.8,31.3,0,116.53502524925415,24.125,24.187,2024-11-11 08:43:02
152.8,0.8,125.8,154.4,0.5,89.4,210.6,59.98,215.4,0.9,0.5,183.9,31.4,0,194.22504208209406,24.25,24.25,2024-11-11 08:48:04
152.2,0.7,119.6,152.1,0.5,82.6,198.3,60.02,215.1,0.9,0.5,183.9,31.3,0,233.0700504985083,24.25,24.25,2024-11-11 08:53:06
151.2,0.7,115.7,148.5,0.5,76.6,189.6,60.02,215.4,0.9,0.5,183.9,31.4,0,233.0700504985083,24.312,24.312,2024-11-11 08:58:09
148.5,0.7,111.8,147.4,0.5,73.9,182.2,59.98,215.4,0.8,0.5,183.9,31.5,0,543.8301178298565,24.25,24.25,2024-11-11 09:03:11
149,0.7,112.7,147.7,0.4,71.8,181.1,59.95,215.3,0.8,0.5,183.9,31.3,0,155.38003366567412,24.187,24.187,2024-11-11 09:08:13
151.9,0.7,114.6,150.4,0.4,74.0,185.0,60.04,214.7,0.8,0.5,183.9,31.1,0,194.22504208209406,24.125,24.125,2024-11-11 09:13:15
149.1,0.7,117.4,153.6,0.4,75.1,189.4,60.01,215.4,0.8,0.6,184.0,30.9,0,116.53502524925415,24.125,24.125,2024-11-11 09:18:18
153.2,0.7,120.1,149.3,0.5,78.0,194.3,59.99,215.5,0.9,0.6,184.0,30.9,0,388.4500841641824,24.187,24.25,2024-11-11 09:23:20
153.5,0.8,123.2,151.9,0.5,79.1,198.0,60.03,215.3,0.9,0.6,184.0,31,0,77.69001683283417,24.312,24.312,2024-11-11 09:28:22
151,0.8,125.5,152.5,0.5,78.2,199.9,59.99,215.3,0.9,0.6,184.0,31.1,0,427.29509258060233,24.375,24.437,2024-11-11 09:33:24
150.7,0.8,127.5,149.2,0.5,78.6,202.1,59.98,214.9,0.9,0.6,184.0,31.1,0,77.69001683283417,24.375,24.437,2024-11-11 09:38:27
149.8,0.8,130.4,154.2,0.5,81.0,207.6,59.99,215.5,1,0.6,184.0,31.1,0,427.29509258060233,24.437,24.437,2024-11-11 09:43:29
152.5,0.8,134.4,150.1,0.5,83.1,213.4,60.04,215.1,0.9,0.7,184.1,31.1,0,310.76006733134824,24.437,24.437,2024-11-11 09:48:31
152.1,0.9,141.8,152,0.5,86.7,224.0,60,215.2,1,0.7,184.1,31.2,0,155.38003366567412,24.375,24.437,2024-11-11 09:53:34
149.1,1,150.5,149,0.6,90.9,235.4,59.98,215.8,1.1,0.7,184.1,31.2,0,427.2950925806081,24.375,24.375,2024-11-11 09:58:36
153.4,1,160.5,155,0.6,95.2,249.6,59.97,215.6,1.1,0.7,184.1,31.1,0,388.4500841641824,24.187,24.187,2024-11-11 10:03:38
151.8,1,162.8,150.8,0.6,98.7,253.5,60.02,215.4,1.1,0.7,184.1,31.2,0,271.91505891492824,24.125,24.125,2024-11-11 10:08:40
155,1.1,168.5,150.2,0.6,97.9,258.0,59.97,216,1.1,0.8,184.2,31.5,0,582.6751262462765,24.125,24.125,2024-11-11 10:13:43
153.4,1.1,169.0,152,0.6,97.7,259.5,59.98,215.6,1.2,0.8,184.2,31.7,0,621.5201346626965,24.0,23.937,2024-11-11 10:18:45
152.2,1,156.8,149.1,0.6,92.9,243.7,60.02,215.7,1.1,0.8,184.2,31.6,0,388.4500841641881,23.875,23.937,2024-11-11 10:23:47
149.1,0.9,139.4,152,0.5,85.6,220.9,60.04,215.6,1,0.8,184.2,31.4,0,582.6751262462822,23.875,23.875,2024-11-11 10:28:49
156.6,0.9,152.5,154.1,0.5,88.4,236.1,59.98,215.7,1.1,0.8,184.2,31.5,0,388.4500841641881,23.812,23.875,2024-11-11 10:33:52
152.1,0.9,144.6,152,0.5,88.9,229.1,60.01,215.8,1,0.9,184.3,31.6,0,466.14010099702233,23.812,23.812,2024-11-11 10:38:54
154.9,0.9,145.1,155,0.5,86.7,227.4,60.01,215,1.1,0.9,184.3,31.6,0,504.9851094134423,23.937,23.937,2024-11-11 10:43:56
152.1,0.9,134.6,151.9,0.5,83.6,213.9,59.96,215.7,0.9,0.9,184.3,31.6,0,155.38003366567412,23.812,23.812,2024-11-11 10:48:59
152.2,0.8,123.7,152,0.5,77.9,197.8,60.01,215.5,0.9,0.9,184.3,31.7,0,388.4500841641881,23.875,23.875,2024-11-11 10:54:01
149.2,0.7,111.4,149,0.4,71.1,179.6,60,215.3,0.8,0.9,184.3,31.7,0,233.0700504985083,23.625,23.687,2024-11-11 10:59:03
147.6,0.6,99.2,153.6,0.4,64.1,160.3,59.98,215.6,0.8,0.9,184.3,31.5,0,388.4500841641824,23.437,23.5,2024-11-11 11:04:05
154.9,0.6,102.4,147.5,0.4,61.7,161.0,59.97,215.1,0.7,1.0,184.4,31.6,0,116.53502524925415,23.375,23.375,2024-11-11 11:09:08
149.3,0.6,103.2,151.9,0.4,64.0,164.1,60,215.4,0.8,1.0,184.4,31.4,0,504.9851094134423,23.437,23.437,2024-11-11 11:14:10
149.2,0.7,105.5,149.2,0.4,65.1,167.4,59.96,215.5,0.8,1.0,184.4,31.4,0,427.29509258060233,23.375,23.375,2024-11-11 11:19:12
152.3,0.7,114.8,152,0.4,69.7,180.9,60.01,215.6,0.8,1.0,184.4,31.2,0,233.0700504985083,23.5,23.5,2024-11-11 11:24:14
152.1,0.8,125.4,150.3,0.5,76.3,198.0,59.97,215.3,0.9,1.0,184.4,31.3,0,310.76006733134824,23.562,23.625,2024-11-11 11:29:17
156.4,0.8,135.4,154.9,0.5,80.7,211.9,59.97,215.5,1,1.0,184.4,31.3,0,427.29509258060233,23.437,23.437,2024-11-11 11:34:19
155.4,0.9,145.4,149.7,0.5,87.0,227.9,59.97,215.7,1,1.1,184.5,31.3,0,621.5201346626965,23.5,23.5,2024-11-11 11:39:21
153.5,0.9,146.7,153.7,0.5,88.0,230.0,59.97,214.8,1.1,1.1,184.5,31.3,0,504.9851094134423,23.5,23.5,2024-11-11 11:44:23
150.6,1,151.0,149.1,0.6,92.2,236.7,60,215.6,1.1,1.1,184.5,31.4,0,466.14010099702233,23.687,23.687,2024-11-11 11:49:26
153.4,1,156.0,149,0.6,94.0,243.6,60,215.1,1.1,1.1,184.5,31.5,0,427.29509258060233,23.812,23.812,2024-11-11 11:54:28
156.5,0.9,152.3,154.8,0.5,92.5,239.9,59.96,215.5,1,1.1,184.5,31.3,0,504.98510941343653,23.75,23.75,2024-11-11 11:59:30
153.4,0.9,139.8,151.1,0.5,84.6,220.1,60.02,215.9,1,1.2,184.6,31.2,0,466.14010099702233,23.812,23.812,2024-11-11 12:04:33
153.5,0.7,111.5,150.6,0.4,66.2,174.1,60.02,215,0.8,1.2,184.6,31.2,0,116.53502524925415,23.562,23.562,2024-11-11 12:09:35
150.6,0.6,98.9,149.2,0.4,59.9,155.2,59.97,215.5,0.7,1.2,184.6,31.1,0,77.69001683283417,23.375,23.375,2024-11-11 12:14:37
147.5,0.6,98.1,149,0.3,58.0,153.2,60.03,215.7,0.7,1.2,184.6,31.2,0,233.0700504985083,23.312,23.375,2024-11-11 12:19:39
153.5,0.6,101.9,146.6,0.3,54.0,154.1,60.03,215.6,0.6,1.2,184.6,31.3,0,466.14010099702233,23.5,23.5,2024-11-11 12:24:42
149.4,0.4,72.4,149.1,0.2,43.6,113.8,59.96,215.6,0.6,1.2,184.6,31.3,0,621.5201346626965,23.437,23.437,2024-11-11 12:29:44
144.6,0.4,60.2,147.7,0.2,36.2,94.7,60.02,215,0.5,1.2,184.6,31.1,0,388.4500841641824,23.312,23.312,2024-11-11 12:34:46
146.1,0.5,74.5,149.5,0.2,40.9,112.8,60.03,215.4,0.5,1.2,184.6,31.1,0,466.14010099702233,23.312,23.375,2024-11-11 12:39:48
152.1,0.5,89.4,150.5,0.2,45.6,132.6,60.01,215.9,0.6,1.2,184.6,31.1,0,233.07005049851404,23.5,23.5,2024-11-11 12:44:51
146.2,0.5,80.1,145.4,0.3,47.1,124.7,60.01,214.7,0.6,1.3,184.7,31.1,0,194.22504208209406,23.562,23.562,2024-11-11 12:49:53
153.5,0.6,102.2,150.5,0.3,52.3,151.8,60.03,215.4,0.7,1.3,184.7,31.1,0,660.3651430791164,23.437,23.437,2024-11-11 12:54:55
150.6,0.6,92.4,146,0.3,54.9,144.7,59.98,215.7,0.6,1.3,184.7,31,0,621.5201346626965,23.5,23.562,2024-11-11 12:59:58
151.7,0.6,105.1,147.2,0.3,58.7,160.7,59.97,215.6,0.7,1.3,184.7,30.9,0,388.4500841641824,23.5,23.5,2024-11-11 13:05:00
153.5,0.4,76.9,146.4,0.2,44.1,119.0,60.03,215,0.6,1.3,184.7,30.9,0,582.6751262462822,23.437,23.437,2024-11-11 13:10:02
148.3,0.4,67.3,149.1,0.2,39.5,104.8,59.99,215.3,0.5,1.3,184.7,31,0,310.76006733134824,23.437,23.437,2024-11-11 13:15:04
146.1,0.4,63.2,149.1,0.2,33.9,95.4,60.03,215.5,0.5,1.3,184.7,30.9,0,582.6751262462765,23.375,23.375,2024-11-11 13:20:07
148.7,0.3,58.3,146.2,0.1,31.5,87.7,59.97,215.1,0.3,1.3,184.7,31,0,543.8301178298623,23.312,23.312,2024-11-11 13:25:09
150.5,0.4,63.0,150.5,0.2,33.2,94.4,60,215.3,0.5,1.3,184.7,31,0,621.5201346626965,23.312,23.312,2024-11-11 13:30:11
144.7,0.4,66.4,147.6,0.2,39.3,103.7,60.02,214.6,0.5,1.3,184.7,30.9,0,155.38003366567412,23.375,23.437,2024-11-11 13:35:13
149.2,0.5,77.7,149.1,0.3,46.2,122.0,59.98,215.3,0.6,1.4,184.8,30.6,0,427.29509258060233,23.437,23.5,2024-11-11 13:40:16
155,0.5,90.1,149,0.3,52.9,140.4,60,215.2,0.7,1.4,184.8,30.7,0,621.5201346626965,23.5,23.562,2024-11-11 13:45:18
150.5,0.5,91.0,149,0.3,50.9,139.3,60,215.3,0.7,1.4,184.8,30.8,0,699.2101514955364,23.625,23.625,2024-11-11 13:50:20
152.3,0.5,80.9,146.1,0.3,49.6,127.8,60.02,215.5,0.6,1.4,184.8,30.9,0,271.91505891492824,23.687,23.687,2024-11-11 13:55:23
149.1,0.5,81.4,146,0.3,49.9,128.8,60,215.7,0.6,1.4,184.8,30.8,0,699.2101514955364,23.625,23.687,2024-11-11 14:00:25
152.1,0.6,96.8,150.3,0.3,56.0,149.9,60,215.3,0.7,1.4,184.8,30.9,0,543.8301178298623,23.687,23.687,2024-11-11 14:05:27
148.5,0.6,96.9,149.1,0.3,54.6,148.9,60,215.6,0.7,1.4,184.8,30.9,0,660.3651430791107,23.75,23.75,2024-11-11 14:10:29
151.4,0.7,112.3,147.9,0.4,57.8,166.9,60.01,215.8,0.7,1.4,184.8,30.8,0,0.0,23.812,23.812,2024-11-11 14:15:32
147.5,0.7,105.1,149.1,0.4,63.9,165.8,60.01,215.4,0.7,1.5,184.9,30.8,0,38.845008416419965,24.062,24.125,2024-11-11 14:20:34
147.6,0.8,120.3,152.1,0.4,71.2,188.2,60.01,215.5,0.9,1.5,184.9,30.7,0,310.76006733134824,24.125,24.125,2024-11-11 14:25:36
152.1,0.9,139.8,154.9,0.5,80.6,215.8,60.01,215.9,1,1.5,184.9,30.8,0,38.845008416419965,24.312,24.312,2024-11-11 14:30:39
150.2,0.9,138.1,153.6,0.5,83.1,216.8,60.02,215.8,1,1.5,184.9,30.9,0,427.29509258060233,24.437,24.437,2024-11-11 14:35:41
155,0.9,139.2,149.8,0.5,77.7,212.8,59.98,215.8,1,1.5,184.9,31.1,0,582.6751262462765,24.375,24.375,2024-11-11 14:40:43
150.7,0.7,117.2,152.5,0.4,68.8,182.3,59.98,214.8,0.8,1.5,184.9,31.3,0,349.6050757477682,24.437,24.437,2024-11-11 14:45:45
150.6,0.7,104.3,149,0.3,59.4,160.7,59.98,215.5,0.7,1.6,185.0,31.3,0,77.69001683283993,24.375,24.375,2024-11-11 14:50:48
153.6,0.8,132.7,152,0.4,72.5,201.2,60.02,215.9,0.9,1.6,185.0,31.1,0,699.2101514955364,24.25,24.25,2024-11-11 14:55:50
151.8,1,156.2,148.9,0.5,88.4,239.0,60.02,216,1.1,1.6,185.0,30.8,0,1048.8152272432988,24.312,24.312,2024-11-11 15:00:52
153.7,1.1,166.2,154.8,0.6,98.4,257.4,59.96,215.8,1.2,1.6,185.0,30.8,0,1631.4903534895752,24.5,24.5,2024-11-11 15:05:54
156,1.1,171.4,149.6,0.6,101.3,263.1,60,215.8,1.2,1.6,185.0,30.8,0,1553.8003366567411,24.75,24.75,2024-11-11 15:10:57
156.5,1.1,176.0,152,0.6,105.0,271.9,60.02,216.1,1.2,1.7,185.1,30.9,0,2602.61556390004,24.812,24.875,2024-11-11 15:15:59
150.6,1.1,165.2,154.9,0.6,97.5,254.9,59.98,216.2,1.1,1.7,185.1,30.9,0,-77.69001683283993,24.937,24.937,2024-11-11 15:21:01
148.9,0.8,130.7,147.7,0.5,77.1,203.7,60.02,215.6,0.9,1.7,185.1,30.9,0,3379.5157322284044,24.812,24.75,2024-11-11 15:26:03
149.1,0.5,90.1,149.1,0.3,53.0,140.5,60.05,215.6,0.6,1.7,185.1,30.9,0,3690.2757995597526,24.562,24.562,2024-11-11 15:31:06
150.5,0.4,62.0,143.3,0.2,31.7,91.9,59.97,215.7,0.5,1.7,185.1,30.9,0,3962.1908584746866,24.375,24.375,2024-11-11 15:36:08
141.6,0.3,47.4,142.9,0.1,24.3,70.5,59.99,215.2,0.5,1.7,185.1,30.9,0,854.5901851612047,24.062,24.062,2024-11-11 15:41:10
143.3,0.2,43.7,144.5,0.1,20.4,62.9,60.01,215,0.5,1.7,185.1,30.9,0,4583.710993137383,23.625,23.687,2024-11-11 15:46:13
146.7,0.2,39.6,140.1,0.1,18.6,56.9,60.01,216,0.4,1.7,185.1,30.8,0,-738.0551599119506,23.375,23.437,2024-11-11 15:51:15
143.1,0.2,33.9,142.4,0.1,15.9,48.7,60.03,216,0.4,1.7,185.1,30.8,0,1786.8703871552493,23.125,23.125,2024-11-11 15:56:17
145.3,0.2,35.3,139.3,0.1,15.9,50.3,60.01,216.3,0.3,1.7,185.1,30.7,0,5554.836203547848,23.125,23.125,2024-11-11 16:01:19
142.3,0.2,33.6,145.6,0,16.2,48.6,60.02,214.8,0.4,1.7,185.1,30.5,0,2641.460572316454,23.0,23.0,2024-11-11 16:06:22
145,0.2,34.7,142.5,0.1,17.1,51.0,60.02,216.1,0.4,1.8,185.2,30.4,0,7458.241615952351,22.937,22.937,2024-11-11 16:11:24
143.4,0.3,47.1,140.7,0.1,22.3,68.3,59.97,215.7,0.4,1.8,185.2,30.3,0,1243.040269325393,22.937,22.937,2024-11-11 16:16:26
143.6,0.3,58.0,150.9,0.1,26.5,83.0,59.96,215.8,0.4,1.8,185.2,30.2,0,0.0,23.062,23.062,2024-11-11 16:21:28
149.8,0.3,53.9,147.2,0.1,28.1,80.7,59.99,215.8,0.5,1.8,185.2,30.1,0,5088.69610255082,23.187,23.187,2024-11-11 16:26:31
149.4,0.2,46.5,143,0.1,22.5,67.8,59.95,216,0.5,1.8,185.2,30.1,0,3262.9807069791505,23.187,23.187,2024-11-11 16:31:33
142.1,0.2,43.0,145.2,0.1,21.0,63.1,59.97,216,0.4,1.8,185.2,30.2,0,-427.29509258060233,23.125,23.187,2024-11-11 16:36:35
144,0.2,38.8,143.3,0.1,18.6,56.5,60.02,216,0.4,1.8,185.2,30.1,0,2136.4754629030176,23.062,23.062,2024-11-11 16:41:38
