voltaje_pv1_v,voltaje_pv2_v,corriente_pv1_a,corriente_pv2_a,potencia_pv1_w,potencia_pv2_w,energia_hoy_wh,voltaje_vac,corriente_aac,temp_vertical,temp_inclinado,irradiancia_incidente,irradiancia_reflejada,albedo,timestamp,corriente_pv2_a_1,potencia_total_va,energia_pv1_wh,energia_pv2_wh
161.815,154.9,0.76,0.6399999999999999,139.06,113.98499999999999,0.20000000000000004,213.28500000000003,1.1199999999999997,24.474750000000004,85.0,75.92433463209073,0.0,0.0,2026-02-26 07:57:55,,,,
162.14000000000001,155.67,0.8800000000000001,0.7300000000000002,155.82,125.25999999999999,0.23499999999999996,213.56999999999994,1.26,24.393400000000007,85.0,98.03740219381812,0.0,0.0,2026-02-26 08:03:10,,,,
162.08571428571432,154.57142857142858,0.8285714285714286,0.7380952380952382,149.04285714285712,127.38095238095237,0.29999999999999993,213.5666666666666,1.214285714285714,24.371761904761907,85.0,96.1876398882744,0.0,0.0,2026-02-26 08:08:25,,,,
163.55238095238096,155.22380952380954,0.9666666666666669,0.8333333333333334,169.05714285714285,140.36666666666665,0.29999999999999993,213.5,1.376190476190476,24.598,85.0,105.94093204477775,0.0,0.0,2026-02-26 08:13:55,,,,
163.56500000000003,155.48999999999998,1.0900000000000003,0.8750000000000002,186.33499999999998,145.4,0.29999999999999993,213.45999999999998,1.4949999999999997,24.881000000000004,85.0,116.5350252492555,0.0,0.0,2026-02-26 08:19:10,,,,
160.94761904761907,153.99523809523805,0.9428571428571427,0.6952380952380951,164.4,117.46666666666667,0.34285714285714297,213.32380952380953,1.2523809523809522,25.01152380952382,85.0,114.76934304850919,0.0,0.0,2026-02-26 08:24:40,,,,
160.6904761904762,152.36666666666667,0.9142857142857144,0.7714285714285714,159.69523809523807,128.68571428571425,0.4000000000000001,213.20000000000005,1.2904761904761908,25.02961904761905,85.0,98.03740219381812,0.0,0.0,2026-02-26 08:29:55,,,,
158.35000000000005,153.01499999999996,0.905,0.7500000000000002,155.21,128.155,0.4000000000000001,213.3,1.2700000000000002,25.087250000000004,85.0,125.7838367769742,0.0,0.0,2026-02-26 08:35:10,,,,
163.1095238095238,154.98095238095235,1.3095238095238095,0.9476190476190476,221.87619047619046,155.6285714285714,0.4000000000000001,213.5666666666667,1.6952380952380952,25.318285714285718,85.0,146.5516226619425,0.0,0.0,2026-02-26 08:40:40,,,,
162.64761904761906,153.74285714285713,1.1571428571428568,0.8857142857142859,198.7238095238095,147.37142857142857,0.4666666666666667,213.3238095238096,1.5476190476190483,25.684190476190484,85.0,138.73217291578032,0.0,0.0,2026-02-26 08:45:55,,,,
162.55714285714288,154.33333333333331,1.20952380952381,0.823809523809524,208.06190476190477,138.67619047619047,0.5,213.50952380952376,1.538095238095238,25.83604761904762,85.0,151.68050905458654,0.0,0.0,2026-02-26 08:51:10,,,,
