timestamp,Voltaje PV1 [V],Corriente PV1 [A],Potencia PV1 [W],Voltaje PV2 [V],Corriente PV2 [A],Potencia PV2 [W],Potencia total [Wac],Frecuencia,Voltaje [Vac],Corriente [Aac],Energia hoy [Wh],Energia total [Wh],Temperatura inversor [C],Energia PV1 [Wh],Energia PV2 [Wh],codigo_error,temp_vertical,temp_inclinado,irradiancia_incidente,irradiancia_reflejada,albedo
2026-03-18 06:15:03,170.73,0.0,0.0,169.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,20.975,0.0,0.0,302.0,20.606000000000005,20.0529,0.0,-13.26595072646873,0.0
2026-03-18 06:20:03,173.115,0.0,0.0,171.42499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,21.070000000000004,0.0,0.0,302.0,20.831050000000005,20.23095,27.191505891492955,-5.685407454200885,-0.04878711307643714
2026-03-18 06:25:03,177.18,0.0,0.0,177.41500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,21.245,0.0,0.0,302.0,21.109100000000005,20.471600000000002,38.84500841641851,0.0,0.0
2026-03-18 06:30:03,175.885,0.0,0.0,175.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,21.369999999999997,0.0,0.0,302.0,21.443500000000004,20.796600000000005,38.84500841641851,0.0,0.0
2026-03-18 06:35:03,176.93,0.0,0.0,176.42000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,21.550000000000008,0.0,0.0,302.0,21.715400000000002,20.824600000000007,40.787258837239435,0.0,0.0
2026-03-18 06:40:03,183.35499999999996,0.0,0.0,183.52000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,21.714999999999996,0.0,0.0,302.0,22.296650000000007,21.612250000000007,99.0547714618672,0.0,0.0
2026-03-18 06:45:03,183.27999999999997,0.0,0.0,182.14000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,21.995000000000005,0.0,0.0,302.0,23.387200000000004,22.796650000000003,116.5350252492555,0.0,0.0
2026-03-18 06:50:03,181.80500000000004,0.0,0.0,179.10999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,22.244999999999997,0.0,0.0,302.0,24.268500000000003,23.549700000000005,116.5350252492555,0.0,0.0
2026-03-18 06:55:03,181.255,0.0,0.0,177.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,22.639999999999997,0.0,0.0,302.0,24.815400000000004,24.143450000000005,118.47727567007647,0.0,0.0
2026-03-18 07:00:03,181.655,0.0,0.0,178.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,23.080000000000002,0.0,0.0,302.0,25.405950000000004,24.746650000000006,155.38003366567403,5.685407454200885,0.03659033480732785
2026-03-18 07:05:03,180.60500000000005,0.0,0.0,177.15500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,23.475,0.0,0.0,302.0,26.149750000000004,25.8872,155.38003366567403,9.475679090334808,0.06098389134554642
2026-03-18 07:10:03,179.95999999999998,0.0,0.0,176.51000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,23.955000000000005,0.0,0.0,302.0,26.4403,27.21225,182.5715395571669,26.53190145293746,0.14392198357548955
2026-03-18 07:15:03,179.40000000000003,0.0,0.0,176.01000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,24.430000000000007,0.0,0.0,302.0,26.943450000000006,29.02785,194.22504208209241,37.90271636133923,0.19514845230574854
2026-03-18 07:20:03,178.925,0.0,0.0,175.59000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,24.835,0.0,0.0,302.0,27.502900000000004,31.065350000000002,227.24329923604824,37.90271636133923,0.1675024215624342
2026-03-18 07:25:03,178.23999999999998,0.0,0.0,175.08999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,25.324999999999996,0.0,0.0,302.0,28.249750000000006,33.4935,235.01230091933195,37.90271636133923,0.1614621123243991
2026-03-18 07:30:03,177.045,0.0,0.0,174.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,25.704999999999995,0.0,0.0,302.0,28.818550000000005,35.009100000000004,250.5503042858993,32.217308907138346,0.12359401979364074
2026-03-18 07:35:03,173.73,0.0,0.0,171.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,25.849999999999994,0.0,0.0,302.0,29.277950000000004,34.3498,161.2067849281368,13.26595072646873,0.05575670065878531
2026-03-18 07:40:03,178.43,0.0,0.0,175.79499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,26.075,0.0,0.0,302.0,29.756050000000005,34.971650000000004,304.9333160688851,36.00758054327227,0.11877338838251661
2026-03-18 07:45:03,174.275,0.0,0.0,171.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,26.384999999999998,0.0,0.0,302.0,30.431,35.780950000000004,209.76304544865994,13.26595072646873,0.04510871963019784
2026-03-18 07:50:03,175.38500000000002,0.0,0.0,172.50500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,26.580000000000005,0.0,0.0,302.0,30.362150000000007,33.905950000000004,217.53204713194359,9.475679090334808,0.030011466528838605
2026-03-18 07:55:03,176.32999999999998,0.0,0.0,174.02000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,26.75,0.0,0.0,302.0,30.368450000000003,33.96535000000001,258.3193059691829,24.6367656348705,0.07343938915369742
2026-03-18 08:00:03,179.55,0.0,0.0,177.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,27.005000000000006,0.0,0.0,302.0,30.462200000000003,34.9091,419.52609089731976,43.588123815540115,0.10378349508987536
2026-03-18 08:05:03,177.31,0.0,0.0,175.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,27.259999999999998,0.0,0.0,302.0,30.752950000000006,36.15285,370.96983037679666,39.79785217940619,0.10986604425265194
2026-03-18 08:10:03,177.15500000000003,0.0,0.0,175.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,27.575000000000006,0.0,0.0,302.0,31.312200000000008,37.1935,438.9485951055291,49.273531269741,0.10958620475123951
2026-03-18 08:15:03,176.15000000000003,0.0,0.0,174.67000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,27.869999999999997,0.0,0.0,302.0,31.6872,38.60605,466.140100997022,60.64434617814277,0.13009896820383235
2026-03-18 08:20:03,175.06000000000006,0.0,0.0,173.94500000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,28.139999999999997,0.0,0.0,302.0,32.324799999999996,39.49345000000001,466.140100997022,60.644346178142754,0.13009896820383235
2026-03-18 08:25:03,174.60999999999999,0.0,0.0,173.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,28.234999999999996,0.0,0.0,302.0,32.98415,39.3686,491.389356467694,73.9102969046115,0.1504269319856812
2026-03-18 08:30:03,174.21499999999997,0.0,0.0,173.24499999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,28.450000000000006,0.0,0.0,302.0,32.8654,41.440400000000004,504.9851094134404,73.9102969046115,0.14636133922931144
2026-03-18 08:35:03,174.02999999999997,0.0,0.0,173.25000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,28.764999999999997,0.0,0.0,302.0,32.727850000000004,43.30905,534.1188657257542,75.80543272267846,0.14207236225555867
2026-03-18 08:40:03,173.85999999999999,0.0,0.0,173.29499999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,29.09500000000001,0.0,0.0,302.0,33.415350000000004,43.806000000000004,549.6568690923216,75.80543272267846,0.1379978341304936
2026-03-18 08:45:03,173.55499999999995,0.0,0.0,173.28500000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,29.310000000000002,0.0,0.0,302.0,32.70915,44.496700000000004,586.5596270879194,75.80543272267846,0.1292858496525585
2026-03-18 08:50:03,173.48000000000005,0.0,0.0,173.31000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,29.515000000000008,0.0,0.0,302.0,32.89660000000001,45.20285,619.5778842418752,75.80543272267846,0.12237434196672983
2026-03-18 08:55:03,172.87000000000003,0.0,0.0,172.82999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,29.884999999999998,0.0,0.0,302.0,34.5748,45.21535000000001,625.4046355043376,72.01516108654455,0.11557873126897877
2026-03-18 09:00:03,171.35,0.0,0.0,171.17499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,30.11500000000001,0.0,0.0,302.0,35.1561,43.55295,518.580862359187,62.53948199620974,0.11923089493580234
2026-03-18 09:05:03,173.94500000000002,0.0,0.0,173.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,30.23999999999999,0.0,0.0,302.0,35.92785,44.38405,747.766412016056,106.12760581174987,0.14199617648036705
2026-03-18 09:10:03,173.44499999999996,0.0,0.0,173.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,30.419999999999995,0.0,0.0,302.0,36.60595,43.362350000000006,765.2466658034441,111.81301326595079,0.1461045649499618
2026-03-18 09:15:03,172.435,0.0,0.0,172.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,30.60500000000001,0.0,0.0,302.0,36.940400000000004,43.162200000000006,718.632655703742,96.65192672141504,0.13402790238015613
2026-03-18 09:20:03,172.51,0.0,0.0,172.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,30.775,0.0,0.0,302.0,37.374750000000006,43.331,767.1889162242653,94.7567909033481,0.12148378355342981
2026-03-18 09:25:03,168.25999999999993,0.0,0.0,169.88500000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,30.919999999999995,0.0,0.0,302.0,37.41845,42.9935,442.83309594717076,45.48325963360708,0.09021982043262373
2026-03-18 09:30:03,174.81,0.0,0.0,174.39000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,30.985000000000007,0.0,0.0,302.0,36.98415000000001,42.38725000000001,835.1676809529978,111.81301326595079,0.13385832150582627
2026-03-18 09:35:03,171.04500000000002,0.0,0.0,172.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,31.160000000000004,0.0,0.0,302.0,37.66855,44.05285000000001,701.1524019163537,87.17624763108022,0.11566171392655915
2026-03-18 09:40:03,166.775,0.0,0.0,169.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,31.14500000000001,0.0,0.0,302.0,37.19670000000001,41.5779,308.8178169105271,26.53190145293746,0.07481624823902144
2026-03-18 09:45:03,170.945,0.0,0.0,171.10500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,31.060000000000002,0.0,0.0,302.0,36.30915,39.64665000000001,370.9698303767966,30.322173089071384,0.0687683845529076
2026-03-18 09:50:03,171.43,0.0,0.0,171.35499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,30.944999999999986,0.0,0.0,302.0,35.65910000000001,38.184000000000005,266.08830765246665,15.161086544535692,0.04950343180017848
2026-03-18 09:55:03,174.09500000000003,0.0,0.0,172.65999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,30.829999999999995,0.0,0.0,302.0,34.740500000000004,37.42165000000001,353.48957658940833,24.6367656348705,0.06264827896835719
2026-03-18 10:00:03,173.675,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,30.8,0.0,0.0,302.0,34.7935,37.924850000000006,330.18257153955716,24.6367656348705,0.06504352718945264
2026-03-18 10:05:03,176.63999999999996,0.0,0.0,174.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,30.869999999999997,0.0,0.0,302.0,34.8247,37.6467,530.2343648841124,60.64434617814275,0.1113433239877019
