voltaje_pv1_v,voltaje_pv2_v,corriente_pv1_a,corriente_pv2_a,potencia_pv1_w,potencia_pv2_w,energia_hoy_wh,voltaje_vac,corriente_aac,temp_vertical,temp_inclinado,timestamp,corriente_pv2_a_1,potencia_total_va,energia_pv1_wh,energia_pv2_wh,irradiancia_incidente,irradiancia_reflejada,albedo
170.77999999999997,174.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2654,85.0,2025-12-11 09:32:09,,,,,347.75531344222264,41.51249887194297,0.11912832108346949
171.16000000000003,173.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.95910000000001,85.0,2025-12-11 09:37:39,,,,,372.55894435746814,60.299776029403326,0.16046211410608702
173.4095238095238,174.53809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.612809523809524,85.0,2025-12-11 09:42:54,,,,,308.9103050258041,37.90271636133923,0.12390377924174506
173.665,174.16499999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.39960000000001,85.0,2025-12-11 09:48:09,,,,,345.9055511366788,37.90271636133923,0.10970647120362849
174.83499999999998,175.05499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5029,85.0,2025-12-11 09:53:24,,,,,401.3984203029911,68.58586770147099,0.16952289796256945
175.95714285714286,175.78571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.86876190476191,85.0,2025-12-11 09:53:39,,,,,,,
175.275,175.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.56535,85.0,414.3467564417973,72.19565021207472,0.1738407569361454,2025-12-11 09:58:39,,,,
175.12857142857143,175.03809523809522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.044428571428575,85.0,2025-12-11 10:04:09,,,,,393.7471307664237,62.02262677310054,0.15550310755688918
175.175,174.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.202850000000005,85.0,2025-12-11 10:09:39,,,,,395.5128129671702,55.13122379831161,0.13634794168547687
174.80499999999998,174.86999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1497,85.0,2025-12-11 10:14:54,,,,,342.20602652559137,54.14673765905603,0.15843027596795306
173.20476190476188,173.8380952380953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.377857142857145,85.0,2025-12-11 10:20:09,,,,,225.67100127633609,37.90271636133923,0.17014643970875357
175.58095238095237,175.31904761904764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.976000000000006,85.0,2025-12-11 10:25:24,,,,,279.31410813710437,37.90271636133923,0.13717918416050348
178.06,176.99500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.38105,85.0,2025-12-11 10:30:39,,,,,447.6424779415846,74.00054146737659,0.16321327696993249
176.91,176.44500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.121750000000006,85.0,2025-12-11 10:36:09,,,,,367.2618977552293,58.57692528570608,0.15724771983314448
179.27142857142857,177.3523809523809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.83014285714286,85.0,2025-12-11 10:41:24,,,,,664.0646676902018,115.5130403393196,0.1715306002509543
177.6142857142857,176.94761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.76457142857143,85.0,2025-12-11 10:46:39,,,,,738.0551599119514,129.9521703817345,0.17471062357215444
177.52857142857144,178.02380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.139523809523816,85.0,2025-12-11 10:52:09,,,,,1059.4093204477772,189.51358180669607,0.17900070671706797
174.76,176.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.346500000000006,85.0,2025-12-11 10:57:24,,,,,1008.1204565213369,182.29401678548862,0.1811352595418675
169.25,172.88500000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.834050000000005,85.0,2025-12-11 11:02:39,,,,,412.49699413625353,63.17119393556537,0.14882092900895763
173.22857142857143,174.24285714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.55628571428572,85.0,2025-12-11 11:08:09,,,,,792.7913081350864,132.6595072646873,0.16461723713772403
175.45714285714283,176.37619047619046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.591952380952385,85.0,2025-12-11 11:13:24,,,,,836.0925621057696,148.00108293475319,0.17710720908735134
176.86,177.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3872,85.0,2025-12-11 11:18:54,,,,,874.012689369416,151.61086544535692,0.17355099513357086
175.30476190476193,176.44285714285712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.87176190476191,85.0,2025-12-11 11:24:24,,,,,822.8079055477737,144.71946247056798,0.1697610888425347
