Voltaje PV1 [V];Voltaje PV2 [V];Corriente PV1 [A];Corriente PV2[A];Potencia PV1 [W];Potencia PV2 [W];Energia hoy [Wh];Voltaje [Vac];Corriente [Aac];temp_vertical;temp_inclinado;irradiancia_incidente;irradiancia_reflejada;albedo;timestamp;Corriente PV2 [A];Potencia total [VA];Energía PV1 [Wh];Energia PV2 [Wh]
156.08499999999998;150.23499999999999;0.5050000000000001;0.34499999999999986;96.93499999999999;67.675;0.10000000000000002;213.965;0.7349999999999997;27.28095;85.0;;;;26/12/2025 07:34;;;;
;;;;;;;;;;;59.19239377739963;0.0;0.0;26/12/2025 07:38;;;;
156.6095238095238;152.1761904761905;0.6809523809523808;0.4523809523809524;122.05238095238099;80.98095238095237;0.10000000000000002;214.12857142857138;0.9047619047619048;27.21695238095238;85.0;;;;26/12/2025 07:39;;;;
;;;;;;;;;;;90.63835297164317;0.0;0.0;26/12/2025 07:44;;;;
154.195;154.24500000000006;1.065;0.6299999999999999;175.61999999999995;105.975;0.15000000000000002;213.88999999999996;1.2300000000000002;33.75925;85.0;;;;26/12/2025 07:44;;;;
;;;;;;;;;;;91.81547443880737;0.0;0.0;26/12/2025 07:49;;;;
157.49047619047613;155.49523809523808;1.0238095238095242;0.5809523809523809;173.60476190476194;102.46666666666665;0.20000000000000004;213.96190476190475;1.2190476190476187;38.969952380952385;85.0;;;;26/12/2025 07:49;;;;
155.4;154.215;0.9099999999999999;0.5899999999999999;155.165;103.94500000000001;0.20000000000000004;214.01499999999996;1.165;25.527850000000004;85.0;83.23930374946823;0.0;0.0;26/12/2025 07:54;;;;
149.95999999999998;151.525;1.97;1.19;299.265;186.36499999999998;0.20000000000000004;214.01499999999993;2.165;25.97785;85.0;;;;26/12/2025 07:59;;;;
;;;;;;;;;;;177.57718133219882;1.8048912553018681;0.00774398620260907;26/12/2025 08:00;;;;
159.635;160.61499999999998;2.435;1.355;387.095;221.67499999999995;0.2949999999999999;214.31000000000003;2.7049999999999996;27.1341;85.0;;;;26/12/2025 08:04;;;;
;;;;;;;;;;;203.05345308582392;24.119910411761328;0.10940140508049541;26/12/2025 08:05;;;;
159.21904761904756;157.09523809523813;3.5809523809523816;1.8666666666666667;562.7857142857143;297.31428571428575;0.3238095238095238;214.61904761904765;3.842857142857143;28.142666666666667;85.0;;;;26/12/2025 08:10;;;;
;;;;;;;;;;;310.7600673313479;43.317390127244835;0.13824291852899379;26/12/2025 08:10;;;;
156.17142857142858;158.01428571428573;2.8476190476190473;1.4285714285714286;458.4095238095238;233.70476190476188;0.4000000000000001;214.42857142857142;3.019047619047618;29.75276190476191;85.0;;;;26/12/2025 08:15;;;;
;;;;;;;;;;;192.37527977654872;14.439130042414945;0.055314187161493354;26/12/2025 08:16;;;;
157.205;156.07;2.79;1.5749999999999997;425.04499999999996;246.075;0.44499999999999995;214.65499999999997;3.045000000000001;32.874750000000006;85.0;;;;26/12/2025 08:20;;;;
;;;;;;;;;;;250.7268725059739;29.28846264285304;0.1080670074579797;26/12/2025 08:21;;;;
156.34000000000003;148.49;3.2300000000000004;1.7149999999999999;498.3199999999999;259.22999999999996;0.5;214.45499999999998;3.37;39.71225;85.0;;;;26/12/2025 08:25;;;;
;;;;;;;;;;;240.46909972068602;32.488042595433626;0.133085934310553;26/12/2025 08:26;;;;
156.03999999999996;145.60499999999996;2.375000000000001;1.4699999999999998;371.51;218.825;0.5799999999999998;214.41000000000003;2.6149999999999998;34.9873;85.0;;;;26/12/2025 08:30;;;;
;;;;;;;;;;;173.87765672111138;7.2195650212074725;0.03717113377252354;26/12/2025 08:32;;;;
156.26999999999998;156.86500000000004;2.615;1.3449999999999998;408.96500000000003;214.25;0.5999999999999999;214.41;2.7849999999999997;38.184200000000004;85.0;;;;26/12/2025 08:35;;;;
;;;;;;;;;;;213.6475462903018;24.119910411761328;0.1044030139860841;26/12/2025 08:37;;;;
155.43333333333334;156.93333333333337;3.2428571428571433;1.2571428571428571;521.842857142857;205.86666666666665;0.6809523809523806;214.44761904761907;3.1380952380952376;54.82128571428571;85.0;;;;26/12/2025 08:40;;;;
;;;;;;;;;;;220.1217143597048;25.268477574226154;0.08870551814464817;26/12/2025 08:42;;;;
155.94;146.57;2.769999999999999;1.51;432.5450000000001;224.42500000000004;0.7049999999999998;214.49000000000007;2.9300000000000006;60.852949999999986;85.0;;;;26/12/2025 08:45;;;;
;;;;;;;;;;;229.37052588742344;30.683151340131758;0.13175839381867718;26/12/2025 08:48;;;;
155.42857142857142;157.89047619047622;3.6999999999999993;1.8095238095238095;569.4904761904761;288.70952380952383;0.8000000000000002;214.4619047619048;3.838095238095238;77.14561904761905;85.0;;;;26/12/2025 08:50;;;;
;;;;;;;;;;;284.27483432015356;34.45701487394476;0.09884824741237376;26/12/2025 08:53;;;;
155.97;158.07;4.1;1.4250000000000003;637.8349999999999;231.55;0.8700000000000001;214.68499999999995;3.775000000000001;74.7655;85.0;;;;26/12/2025 08:55;;;;
;;;;;;;;;;;373.65198571983507;59.56141142496164;0.13250030018913692;26/12/2025 08:58;;;;
154.78571428571428;152.05714285714288;6.50952380952381;2.119047619047619;971.5285714285712;326.25714285714287;0.9428571428571431;215.1047619047619;5.8428571428571425;60.30333333333333;85.0;;;;26/12/2025 09:01;;;;
;;;;;;;;;;;425.44533027505975;66.78097644616908;0.14931571049509376;26/12/2025 09:04;;;;
151.0142857142857;160.1428571428571;4.752380952380953;1.6285714285714288;709.3904761904763;263.2095238095238;1.0428571428571431;214.6666666666667;4.357142857142857;67.94619047619047;85.0;;;;26/12/2025 09:06;;;;
;;;;;;;;;;;370.79326215672194;60.29977602940328;0.15752654286577975;26/12/2025 09:09;;;;
151.2238095238095;160.21904761904761;4.4190476190476184;1.5666666666666667;668.8380952380952;255.90476190476187;1.1238095238095236;214.8333333333333;4.057142857142857;83.79157142857142;85.0;;;;26/12/2025 09:11;;;;
;;;;;;;;;;;392.1496087752723;59.561411424961655;0.14859046759986097;26/12/2025 09:14;;;;
151.035;153.95;6.909999999999999;2.3949999999999996;1000.6999999999998;371.96000000000004;1.22;215.10999999999999;6.170000000000001;56.599700000000006;85.0;;;;26/12/2025 09:16;;;;
;;;;;;;;;;;416.19651874734103;63.17119393556535;0.1461578614848136;26/12/2025 09:20;;;;
151.06666666666666;147.79523809523812;4.247619047619047;1.8904761904761906;635.7190476190475;285.99047619047616;1.3000000000000003;214.39047619047622;4.014285714285714;75.37485714285714;85.0;;;;26/12/2025 09:21;;;;
;;;;;;;;;;;381.05103494201;63.17119393556539;0.15826690457189405;26/12/2025 09:25;;;;
148.9428571428572;157.90952380952382;6.5476190476190474;2.1476190476190475;966.5714285714286;342.40000000000003;1.3999999999999997;215.1095238095238;5.785714285714286;85.0;85.0;;;;26/12/2025 09:27;;;;
;;;;;;;;;;;430.99461719169074;64.97608519086721;0.14871913445007975;26/12/2025 09:30;;;;
148.65238095238092;145.052380952381;4.752380952380953;2.1095238095238096;701.1285714285714;308.93333333333334;1.5;214.4380952380953;4.419047619047619;85.0;85.0;;;;26/12/2025 09:32;;;;
;;;;;;;;;;;543.830117829859;87.86538792855912;0.16008013226080042;26/12/2025 09:36;;;;
147.43;152.88500000000002;6.609999999999999;2.3150000000000004;954.0249999999999;358.62;1.5950000000000006;214.84;5.775;85.0;85.0;;;;26/12/2025 09:37;;;;
;;;;;;;;;;;298.4002919261238;36.179865617641994;0.11678379192736282;26/12/2025 09:41;;;;
150.63999999999996;145.49499999999998;3.8949999999999987;1.6749999999999996;598.4849999999999;249.99499999999998;1.69;214.20999999999998;3.66;85.0;85.0;;;;26/12/2025 09:42;;;;
;;;;;;;;;;;314.4595919424354;37.90271636133923;0.09445956034693512;26/12/2025 09:46;;;;
149.47619047619045;152.86666666666667;3.7619047619047628;1.7000000000000004;554.6000000000001;261.49047619047616;1.7619047619047619;214.3476190476191;3.6428571428571423;85.0;85.0;;;;26/12/2025 09:47;;;;
;;;;;;;;;;;418.466681576872;62.02262677310056;0.1164409412561655;26/12/2025 09:52;;;;
154.315;155.10999999999999;4.994999999999999;2.1700000000000004;748.6299999999999;331.65999999999997;1.8150000000000002;214.56000000000003;4.965000000000002;85.0;85.0;;;;26/12/2025 09:52;;;;
150.12857142857143;155.49523809523808;5.547619047619047;2.2142857142857144;887.2952380952383;353.8666666666666;1.9238095238095234;214.66190476190474;5.161904761904762;85.0;85.0;453.78032559179786;70.63688049158674;0.15110765551682884;26/12/2025 09:57;;;;
151.86;155.5;3.575;1.6949999999999998;523.2099999999999;267.2700000000001;2.0;213.07;3.6300000000000003;85.0;85.0;;;;26/12/2025 10:02;;;;
;;;;;;;;;;;307.0605427202604;45.1222813825467;0.14286145975072967;26/12/2025 10:03;;;;
153.01904761904763;158.0619047619048;4.8619047619047615;2.2142857142857144;717.2238095238096;350.9238095238095;2.076190476190477;213.69047619047623;4.838095238095239;85.0;85.0;;;;26/12/2025 10:08;;;;
;;;;;;;;;;;421.9980459783646;62.02262677310054;0.1392178370246987;26/12/2025 10:08;;;;
148.8095238095238;158.0857142857143;8.023809523809522;2.7000000000000006;1183.6333333333332;428.4476190476191;2.185714285714286;214.85238095238094;6.928571428571429;85.0;85.0;;;;26/12/2025 10:13;;;;
;;;;;;;;;;;717.7077745509703;115.51304033931953;0.15561780932887162;26/12/2025 10:13;;;;
147.46666666666664;142.24761904761905;8.733333333333334;2.900000000000001;1185.4523809523807;407.0380952380953;2.3285714285714283;215.2;7.419047619047619;85.0;85.0;;;;26/12/2025 10:18;;;;
;;;;;;;;;;;732.50587299532;122.73260536052703;0.16253316612187269;26/12/2025 10:19;;;;
144.06;142.21999999999997;7.580000000000001;2.665;1131.145;390.93000000000006;2.46;215.04500000000002;6.359999999999999;85.0;85.0;;;;26/12/2025 10:23;;;;
;;;;;;;;;;;575.2760770241022;93.85434527569711;0.156970598612116;26/12/2025 10:24;;;;
150.21904761904764;143.29523809523812;7.366666666666666;2.9142857142857146;1026.7952380952381;408.34285714285716;2.5714285714285725;215.07619047619045;6.55238095238095;85.0;85.0;;;;26/12/2025 10:28;;;;
;;;;;;;;;;;692.1474226925477;113.7081490840177;0.15753809523551768;26/12/2025 10:29;;;;
142.90476190476187;142.99999999999997;8.7;3.152380952380953;1238.4714285714283;457.8809523809524;2.7190476190476183;215.12380952380948;7.366666666666667;85.0;85.0;;;;26/12/2025 10:34;;;;
;;;;;;;;;;;675.1632415234641;106.4885840628102;0.15152365915881794;26/12/2025 10:35;;;;
143.9904761904762;140.84761904761905;7.561904761904763;3.1523809523809527;1079.4952380952382;442.8238095238095;2.8333333333333326;215.28095238095236;6.685714285714285;85.0;85.0;;;;26/12/2025 10:39;;;;
;;;;;;;;;;;614.4574058597108;96.47964164704531;0.15076881357873442;26/12/2025 10:40;;;;
142.05238095238096;145.94285714285712;6.2285714285714295;2.7000000000000006;861.0952380952384;389.08571428571435;2.9619047619047616;214.8142857142857;5.571428571428572;85.0;85.0;;;;26/12/2025 10:44;;;;
;;;;;;;;;;;521.6329701633342;75.80543272267845;0.13215331500801733;26/12/2025 10:45;;;;
146.25238095238095;155.50000000000003;7.776190476190475;3.104761904761905;1121.9142857142858;486.6095238095239;3.0619047619047626;215.01428571428573;6.966666666666669;85.0;85.0;;;;26/12/2025 10:49;;;;
;;;;;;;;;;;658.5153807735707;102.87880155220648;0.14700261270256065;26/12/2025 10:51;;;;
147.79999999999998;151.26000000000002;5.67;2.495;840.96;385.1949999999999;3.1850000000000014;214.695;5.300000000000001;85.0;85.0;;;;26/12/2025 10:54;;;;
;;;;;;;;;;;568.549668640307;86.1425371848619;0.14121280835663622;26/12/2025 10:56;;;;
143.57142857142856;149.5238095238095;9.32380952380952;3.6285714285714294;1346.1142857142859;546.052380952381;3.309523809523809;215.53333333333327;8.247619047619047;85.0;85.0;;;;26/12/2025 11:00;;;;
;;;;;;;;;;;797.2475536893511;128.14727912643266;0.15897275526898108;26/12/2025 11:01;;;;
